=================================
=  Czech Republic

Josh King,                    F,  - ,      b. 30 Mar 2007
Vojtěch Vorel,                G,  1.90 m,  b. 18 Jun 1996 @ Prague
Lukáš Havel,                  D,  1.86 m,  b. 6 Jun 1996 @ České Budějovice
Aleš Matějů,                  D,  1.84 m,  b. 3 Jun 1996 @ Příbram
Šimon Chwaszcz,               F,  1.92 m,  b. 28 May 1996
Lukáš Sadílek,                M,  1.79 m,  b. 23 May 1996 @ Uherský Ostroh
Dominik Kostka,               D|F,1.77 m,  b. 4 May 1996
Jindřich Staněk,              G,  1.92 m,  b. 27 Apr 1996 @ Strakonice
Miloš Kratochvíl,             M,  1.87 m,  b. 26 Apr 1996 @ Karlovy Vary
Filip Zorvan,                 M,  1.71 m,  b. 7 Apr 1996 @ Opočno
Jakub Yunis,                  F,  1.91 m,  b. 25 Mar 1996 @ Brno
Martin Toml,                  D,  1.86 m,  b. 25 Mar 1996 @ Brandýs nad Labem
Ondřej Bačo,                  D,  1.87 m,  b. 25 Mar 1996 @ Brumov-Bylnice
David Broukal,                D,  - ,      b. 16 Mar 1996
Jiří Kulhánek,                M,  1.85 m,  b. 8 Mar 1996 @ Prague
Petr Kodeš,                   M,  1.85 m,  b. 31 Jan 1996 @ Krupka
Patrik Schick,                F,  1.86 m,  b. 24 Jan 1996 @ Prague
Jakub Jankto,                 M,  1.84 m,  b. 19 Jan 1996 @ Prague
Jan Suchan,                   M,  1.79 m,  b. 18 Jan 1996 @ Příbram
Petr Rybička,                 F,  1.86 m,  b. 14 Jan 1996 @ Chrudim
Vít Nemrava,                  G,  1.82 m,  b. 9 Jan 1996

David Černý,                  F,  1.85 m,  b. 10 Dec 1995
Jaroslav Tregler,             M,  1.81 m,  b. 1 Dec 1995 @ Hořovice
Jakub Přichystal,             F,  1.78 m,  b. 25 Oct 1995 @ Brno
Martin Hašek,                 M,  1.74 m,  b. 3 Oct 1995 @ Liberec
Dominik Preisler,             D,  1.83 m,  b. 20 Sep 1995
Jan Vondra,                   D,  1.78 m,  b. 13 Sep 1995 @ Prague
Filip Žák,                    F,  1.84 m,  b. 1 Sep 1995
Jiří Kateřiňák,               M,  1.74 m,  b. 25 Aug 1995 @ Prague
Jan Záviška,                  M,  1.77 m,  b. 21 Aug 1995 @ Hlinsko
Daniel Holzer,                M,  1.75 m,  b. 18 Aug 1995 @ Ostrava
Filip Novotný,                M,  1.74 m,  b. 17 Aug 1995 @ Litomerice
Lukáš Kalvach,                M,  1.81 m,  b. 19 Jul 1995 @ Olomouc
Dominik Mašek,                M,  1.84 m,  b. 10 Jul 1995 @ Příbram
Marek Havlík,                 M,  1.76 m,  b. 8 Jul 1995 @ Lubná
Filip Panák,                  D,  1.88 m,  b. 1 Jul 1995
Václav Jemelka,               D,  1.86 m,  b. 23 Jun 1995 @ Olomouc
Ondřej Ševčík,                D,  1.88 m,  b. 9 Jun 1995
Pavel Halouska,               G,  1.94 m,  b. 23 May 1995 @ Brno
Jan Mejdr,                    D,  1.85 m,  b. 11 May 1995 @ Prague
Ondřej Kočí,                  G,  1.98 m,  b. 7 Apr 1995 @ Prague
Lukáš Hůlka,                  D,  1.82 m,  b. 31 Mar 1995 @ Mladá Boleslav
Tomáš Souček,                 M,  1.90 m,  b. 27 Feb 1995 @ Havlíčkův Brod
Jiří Bederka,                 D,  1.89 m,  b. 18 Feb 1995 @ Náchod
Jan Silný,                    F,  1.87 m,  b. 15 Feb 1995
Jakub Nečas,                  M|F,1.74 m,  b. 26 Jan 1995 @ Prague
Tomáš Chorý,                  F,  1.99 m,  b. 26 Jan 1995 @ Olomouc
Jan Prosek,                   D,  - ,      b. 23 Jan 1995
Stefan Šimić,                 D,  1.89 m,  b. 20 Jan 1995 @ Prague
Jakub Šiman,                  G,  1.97 m,  b. 7 Jan 1995 @ Plzeň
Patrik Čavoš,                 M,  1.80 m,  b. 7 Jan 1995 @ Prague
Lukáš Soukup,                 G,  1.93 m,  b. 6 Jan 1995

Damián Bariš,                 M,  1.78 m,  b. 9 Dec 1994 @ Trenčín
Antonín Barák,                M,  1.90 m,  b. 3 Dec 1994 @ Příbram
Lukáš Juliš,                  F,  1.86 m,  b. 2 Dec 1994 @ Chrudim
Ondřej Karafiát,              D,  1.82 m,  b. 1 Dec 1994 @ Prague
Patrizio Stronati,            D,  1.90 m,  b. 17 Nov 1994
Michal Hubínek,               M,  1.69 m,  b. 10 Nov 1994 @ Prague
Jan Sedlák,                   M,  1.81 m,  b. 25 Oct 1994 @ Blansko
Ondřej Kolář,                 G,  1.93 m,  b. 17 Oct 1994 @ Liberec
Aleš Čermák,                  M,  1.80 m,  b. 1 Oct 1994 @ Prague
Rudolf Reiter,                M,  1.80 m,  b. 28 Sep 1994 @ Prague
Adam Vlkanova,                M,  1.68 m,  b. 4 Sep 1994 @ Hradec Králové
Jakub Fulnek,                 M,  1.72 m,  b. 26 Aug 1994 @ Lhotka
Otto Urma,                    D,  1.78 m,  b. 17 Aug 1994 @ Domoušice
Milan Havel,                  D,  1.71 m,  b. 7 Aug 1994 @ Prague
Daniel Tetour,                M,  1.81 m,  b. 17 Jul 1994 @ Prague
Jan Hlavica,                  D,  1.86 m,  b. 17 Jul 1994 @ Kelč
Jan Štěrba,                   D,  1.86 m,  b. 8 Jul 1994 @ Ostrava
Václav Jurečka,               F,  1.82 m,  b. 26 Jun 1994
Michal Trávník,               M,  1.74 m,  b. 17 May 1994 @ Mutěnice
Tomáš Břečka,                 D,  1.85 m,  b. 12 May 1994 @ Kroměříž
Petr Ševčík,                  M,  1.72 m,  b. 4 May 1994 @ Jeseník
Robert Hrubý,                 M,  1.84 m,  b. 27 Apr 1994 @ Prague
Jan Shejbal,                  D|M,1.85 m,  b. 20 Apr 1994 @ Pardubice
Michael Lüftner,              D,  1.90 m,  b. 14 Mar 1994 @ Chabařovice
Lukáš Vraštil,                D,  1.81 m,  b. 10 Mar 1994 @ Jilemnice
Adam Fousek,                  M,  1.85 m,  b. 8 Mar 1994 @ Pardubice
Antonín Křapka,               D,  1.83 m,  b. 22 Jan 1994 @ Mladá Boleslav
Lukáš Zima,                   G,  1.96 m,  b. 9 Jan 1994 @ Hradec Králové
Patrik Brandner,              M|F,1.80 m,  b. 4 Jan 1994 @ Hořovice
Filip Kaša,                   D,  1.89 m,  b. 1 Jan 1994 @ Ostrava

Jan Sýkora,                   M,  1.70 m,  b. 29 Dec 1993 @ Plzeň
Miloš Kopečný,                D,  1.79 m,  b. 26 Dec 1993 @ Holešov
Jakub Plšek,                  M,  1.86 m,  b. 13 Dec 1993 @ Jasenná
Karel Soldát,                 M,  1.87 m,  b. 7 Nov 1993
Jan Hladík,                   F,  1.84 m,  b. 21 Sep 1993 @ Znojmo
Michal Jeřábek,               D,  1.91 m,  b. 10 Sep 1993 @ Prague
Jaroslav Svozil,              D,  1.83 m,  b. 9 Sep 1993
Jan Kliment,                  F,  1.85 m,  b. 1 Sep 1993 @ Myjava
Tomáš Zahradníček,            M,  1.82 m,  b. 11 Aug 1993
David Hovorka,                D,  1.79 m,  b. 7 Aug 1993 @ Prague
Jaromír Zmrhal,               M,  1.89 m,  b. 2 Aug 1993 @ Žatec
David Ledecký,                F,  1.84 m,  b. 24 Jul 1993 @ Brandýs nad Labem
Stanislav Vávra,              F,  1.80 m,  b. 20 Jul 1993 @ Kroměříž
Lukáš Pokorný,                D,  1.86 m,  b. 5 Jul 1993
Petr Hronek,                  M,  1.82 m,  b. 4 Jul 1993 @ Prague
David Houska,                 M,  1.75 m,  b. 29 Jun 1993 @ Olomouc
Jakub Pešek,                  M,  1.76 m,  b. 24 Jun 1993 @ Chrudim
Martin Nový,                  D,  1.78 m,  b. 23 Jun 1993 @ Prague
Matěj Hanousek,               D,  1.82 m,  b. 2 Jun 1993 @ Prague
Tomáš Kalas,                  D,  1.84 m,  b. 15 May 1993 @ Olomouc
David Puškáč,                 F,  1.90 m,  b. 14 May 1993 @ Karviná
Matěj Hrabina,                D,  1.79 m,  b. 29 Apr 1993 @ Opava
Šimon Falta,                  M,  1.83 m,  b. 23 Apr 1993 @ Ústí nad Orlicí
Václav Prošek,                M,  1.77 m,  b. 8 Apr 1993 @ Rakovník
Tomáš Holeš,                  D|M,1.80 m,  b. 31 Mar 1993 @ Polička
Vojtěch Kubista,              M,  1.92 m,  b. 19 Mar 1993 @ Jablonec nad Nisou
Michael Krmenčik,             F,  1.87 m,  b. 15 Mar 1993 @ Kraslice
Jan Juroška,                  D,  1.80 m,  b. 2 Mar 1993 @ Valašské Meziříčí
Patrik Vízek,                 G,  1.88 m,  b. 26 Feb 1993 @ Hradec Králové
Roman Haša,                   F,  1.78 m,  b. 15 Feb 1993
Lukáš Masopust,               M,  1.79 m,  b. 12 Feb 1993 @ Božejov
Filip Twardzik,               D|M,1.80 m,  b. 10 Feb 1993 @ Třinec
Jiří Texl,                    M,  1.81 m,  b. 3 Jan 1993 @ Třebíč
Matěj Hybš,                   D,  1.81 m,  b. 3 Jan 1993 @ Prague

Marek Červenka,               F,  1.82 m,  b. 17 Dec 1992 @ Prague
Tomáš Hájek,                  D,  1.86 m,  b. 1 Dec 1992 @ Zlín
Jan Řezníček,                 M,  1.80 m,  b. 22 Nov 1992 @ Pardubice
Dominik Simerský,             D,  1.90 m,  b. 29 Sep 1992 @ Otrokovice
Filip Nguyen,                 G,  1.90 m,  b. 14 Sep 1992 @ Banská Bystrica
Michal Reichl,                G,  1.89 m,  b. 14 Sep 1992
Tomáš Koubek,                 G,  1.97 m,  b. 26 Aug 1992 @ Hradec Králové
Lukáš Holík,                  F,  1.78 m,  b. 23 Aug 1992 @ Zlín
Milan Knobloch,               G,  1.91 m,  b. 23 Aug 1992
Vladimír Coufal,              D,  1.79 m,  b. 22 Aug 1992 @ Ludgeřovice
Jaroslav Zelený,              D,  1.89 m,  b. 20 Aug 1992 @ Hradec Králové
Lukáš Kryštůfek,              D,  1.84 m,  b. 15 Aug 1992 @ Humpolec
Jakub Brabec,                 D,  1.86 m,  b. 6 Aug 1992 @ Prague
Adam Jánoš,                   M,  1.73 m,  b. 20 Jul 1992 @ Uherské Hradiště
Petr Buchta,                  D,  1.85 m,  b. 15 Jul 1992 @ Brno
Ladislav Krejčí,              M,  1.78 m,  b. 5 Jul 1992 @ Prague
Tomáš Přikryl,                M,  1.78 m,  b. 4 Jul 1992 @ Olomouc
Michal Petráň,                F,  1.84 m,  b. 26 Jun 1992 @ Pardubice
Michal Leibl,                 D,  1.84 m,  b. 7 Jun 1992 @ Osek
Filip Mucha,                  G,  1.90 m,  b. 4 Jun 1992 @ Olomouc
Aleš Nešický,                 M,  1.79 m,  b. 1 Jun 1992 @ Vysoké Mýto
Václav Kadlec,                F,  1.79 m,  b. 20 May 1992 @ Prague
Milan Jirásek,                M,  1.76 m,  b. 14 May 1992 @ Chrudim
Jakub Jugas,                  D,  1.86 m,  b. 5 May 1992 @ Mladá Boleslav
Matěj Vydra,                  F,  1.80 m,  b. 1 May 1992 @ Chotěboř
Jakub Urbanec,                M,  1.82 m,  b. 27 Apr 1992
Pavel Kadeřábek,              D,  1.77 m,  b. 25 Apr 1992 @ Prague
Aleš Mandous,                 G,  1.90 m,  b. 21 Apr 1992 @ Nekmíř
Antonín Fantiš,               F,  1.75 m,  b. 15 Apr 1992 @ Prague
Jiří Pavlenka,                G,  1.96 m,  b. 14 Apr 1992 @ Hlučín
Lukáš Budínský,               M,  1.79 m,  b. 27 Mar 1992 @ Prague
Martin Frýdek,                D|M,1.79 m,  b. 24 Mar 1992 @ Hradec Králové
Martin Hála,                  D|M,1.75 m,  b. 24 Mar 1992 @ Olomouc
Daniel Krch,                  D,  1.80 m,  b. 20 Mar 1992 @ Tábor
Jan Koudelka,                 M,  1.76 m,  b. 12 Mar 1992 @ Boskovice
Jiří Skalák,                  M|F,1.75 m,  b. 12 Mar 1992 @ Pardubice
Ondřej Petrák,                D|M,1.87 m,  b. 11 Mar 1992 @ Prague
Martin Sladký,                D,  1.78 m,  b. 1 Mar 1992 @ Domažlice
Martin Šejvl,                 D,  1.77 m,  b. 18 Feb 1992 @ Pardubice
Erik Daniel,                  M,  1.78 m,  b. 4 Feb 1992 @ Bratislava
Tomáš Petrášek,               D,  1.99 m,  b. 2 Feb 1992 @ Rychnov nad Kněžnou
Jan Mikula,                   D,  1.78 m,  b. 5 Jan 1992 @ Havlíčkův Brod

Jaroslav Navrátil,            F,  1.85 m,  b. 30 Dec 1991 @ Hustopeče
Tomáš Holý,                   G,  2.06 m,  b. 10 Dec 1991 @ Rychnov nad Kněžnou
Radek Voltr,                  M,  1.78 m,  b. 28 Nov 1991 @ Hradec Králové
Petr Schwarz,                 M,  1.74 m,  b. 12 Nov 1991 @ Hradec Králové
Milan Jurdik,                 F,  1.82 m,  b. 8 Nov 1991 @ Považská Bystrica
David Jablonský,              D,  1.90 m,  b. 8 Oct 1991 @ Sokolov
Tomáš Malinský,               M,  1.70 m,  b. 25 Aug 1991 @ Skuteč
Marek Hanousek,               M,  1.85 m,  b. 6 Aug 1991 @ Prague
Tomáš Kučera,                 M,  1.85 m,  b. 20 Jul 1991 @ Havlíčkův Brod
Tomáš Čelůstka,               D,  1.81 m,  b. 19 Jul 1991 @ Zlín
Vlastimil Daníček,            M,  1.87 m,  b. 15 Jul 1991 @ Zlín
Jaroslav Málek,               M,  1.70 m,  b. 9 Jul 1991
Martin Pospíšil,              M,  1.78 m,  b. 26 Jun 1991 @ Bělkovice-Lašťany
Stanislav Dostál,             G,  1.85 m,  b. 20 Jun 1991 @ Zlín
Ondřej Zahustel,              D,  1.83 m,  b. 18 Jun 1991 @ Mladá Boleslav
David Pavelka,                M,  1.74 m,  b. 18 May 1991 @ Prague
Roman Potočný,                M,  1.85 m,  b. 25 Apr 1991 @ Roudnice nad Labem
Pavel Moulis,                 M,  1.85 m,  b. 7 Apr 1991 @ Teplice
Milan Heča,                   G,  1.92 m,  b. 21 Mar 1991 @ Krumvíř
David Vaněček,                F,  1.93 m,  b. 9 Mar 1991 @ Planá
Martin Kouřil,                D,  2.00 m,  b. 24 Feb 1991 @ Jablonec nad Nisou
Jakub Hora,                   M,  1.76 m,  b. 23 Feb 1991 @ Most
Václav Juřena,                F,  1.87 m,  b. 2 Feb 1991 @ Třinec
Martin Šindelář,              D,  1.89 m,  b. 22 Jan 1991
Vilém Fendrich,               G,  1.93 m,  b. 22 Jan 1991
Jan Kvída,                    D,  1.86 m,  b. 17 Jan 1991 @ Příbram
Petr Mareš,                   M,  1.83 m,  b. 17 Jan 1991 @ Planá
Jan Bořil,                    D,  1.75 m,  b. 11 Jan 1991 @ Nymburk
Zdeněk Folprecht,             M,  1.79 m,  b. 7 Jan 1991 @ Kladno
Šimon Šumbera,                M,  1.79 m,  b. 5 Jan 1991 @ Medlov

Václav Hladký,                G,  1.89 m,  b. 14 Nov 1990 @ Brno
Jan Chramosta,                F,  1.80 m,  b. 12 Oct 1990 @ Prague
Martin Šustr,                 G,  1.86 m,  b. 3 Oct 1990 @ Boskovice
Josef Divíšek,                D,  1.84 m,  b. 24 Sep 1990 @ Prague
Stanislav Tecl,               F,  1.80 m,  b. 1 Sep 1990 @ Jindřichův Hradec
Vladimír Darida,              M,  1.70 m,  b. 8 Aug 1990 @ Plzeň
Alois Hyčka,                  D,  1.66 m,  b. 22 Jul 1990 @ Cheb
Ondřej Vaněk,                 M,  1.79 m,  b. 5 Jul 1990 @ Brno
Lukáš Bartošák,               D|M,1.76 m,  b. 3 Jul 1990 @ Brumov
Filip Novák,                  D,  1.84 m,  b. 26 Jun 1990 @ Přerov
Stanislav Hofmann,            D,  1.90 m,  b. 17 Jun 1990
Luděk Pernica,                D,  1.86 m,  b. 16 Jun 1990 @ Boskovice
Martin Nešpor,                F,  1.84 m,  b. 5 Jun 1990 @ Prague
Jan Kopic,                    M,  1.77 m,  b. 4 Jun 1990 @ Jihlava
Josef Šural,                  M,  1.84 m,  b. 30 May 1990 @ Hustopeče
Pavel Vyhnal,                 F,  1.88 m,  b. 25 May 1990 @ Prague
Martin Doležal,               F,  1.88 m,  b. 3 May 1990 @ Valašské Meziříčí
Lukáš Mareček,                M,  1.82 m,  b. 17 Apr 1990 @ Ivančice
Jan Navrátil,                 M,  1.70 m,  b. 13 Apr 1990 @ Přerov
Martin Sus,                   D,  1.78 m,  b. 15 Mar 1990 @ Benešov
Lukáš Hejda,                  D,  1.91 m,  b. 9 Mar 1990 @ Bilovec
Roman Valeš,                  G,  1.90 m,  b. 6 Mar 1990 @ Nymburk
Michal Frydrych,              D,  1.88 m,  b. 27 Feb 1990 @ Hustopeče nad Bečvou

Pavel Novák,                  D,  1.87 m,  b. 30 Nov 1989 @ Jindřichův Hradec
Jan Morávek,                  M,  1.79 m,  b. 1 Nov 1989 @ Prague
Martin Dostál,                D,  1.75 m,  b. 23 Sep 1989 @ Prague
Michael Rabušic,              F,  1.84 m,  b. 17 Sep 1989 @ Náměšť nad Oslavou
Pavel Dreska,                 D,  1.85 m,  b. 17 Sep 1989 @ Prostějov
Milan Kerbr,                  D,  1.82 m,  b. 10 Sep 1989 @ Uherské Hradiště
Tomáš Necid,                  F,  1.90 m,  b. 13 Aug 1989 @ Prague
Radim Breite,                 M,  1.75 m,  b. 10 Aug 1989 @ Krupka
Daniel Bartl,                 M,  1.81 m,  b. 5 Jul 1989 @ Ostrava
Ondřej Čelůstka,              D,  1.85 m,  b. 18 Jun 1989 @ Zlín
Libor Kozák,                  F,  1.93 m,  b. 30 May 1989 @ Brumov-Bylnice
Tomáš Pekhart,                F,  1.95 m,  b. 26 May 1989 @ Sušici
Tomáš Dočekal,                F,  1.95 m,  b. 24 May 1989 @ Smrzovka
Petr Reinberk,                D,  1.78 m,  b. 23 May 1989
Jan Hošek,                    D,  1.89 m,  b. 1 Apr 1989 @ Nýrsko
Tomáš Vaclík,                 G,  1.88 m,  b. 29 Mar 1989 @ Ostrava
Martin Zeman,                 M,  1.74 m,  b. 28 Mar 1989 @ Tábor
Ondřej Mazuch,                D,  1.88 m,  b. 15 Mar 1989 @ Hodonín
Tomáš Jursa,                  M,  1.82 m,  b. 9 Mar 1989 @ Karviná
Pavel Dvořák,                 F,  1.87 m,  b. 19 Feb 1989 @ Vysoké Mýto
Martin Berkovec,              G,  1.90 m,  b. 12 Feb 1989 @ Mariánské Lázně
Radim Řezník,                 D,  1.80 m,  b. 20 Jan 1989 @ Český Těšín
Tomáš Smola,                  F,  1.91 m,  b. 19 Jan 1989 @ Louny

Zdeněk Ondrášek,              F,  1.86 m,  b. 22 Dec 1988 @ Strakonice
Adam Hloušek,                 D|M,1.83 m,  b. 20 Dec 1988 @ Turnov
Tomáš Pilík,                  M,  1.85 m,  b. 20 Dec 1988 @ Příbram
Marek Boháč,                  G,  1.93 m,  b. 31 Oct 1988 @ Prague
Václav Pilař,                 M,  1.69 m,  b. 13 Oct 1988 @ Chlumec nad Cidlinou
Bořek Dočkal,                 M,  1.82 m,  b. 30 Sep 1988 @ Městec Králové
Tomáš Poznar,                 F,  1.94 m,  b. 27 Sep 1988 @ Zlín
Vít Beneš,                    D,  1.85 m,  b. 12 Aug 1988 @ Ústí nad Labem
Jan Kovařík,                  M,  1.82 m,  b. 19 Jun 1988 @ Most
Tomáš Hořava,                 M,  1.81 m,  b. 29 May 1988 @ Drnovice
Jakub Řezníček,               F,  1.86 m,  b. 26 May 1988 @ Příbram
Vojtěch Šrom,                 G,  1.92 m,  b. 3 May 1988 @ Litovel
Jan Hanuš,                    G,  1.88 m,  b. 28 Apr 1988 @ Chlumec nad Cidlinou
Marek Suchý,                  D,  1.82 m,  b. 29 Mar 1988 @ Prague
Michal Škoda,                 F,  1.91 m,  b. 1 Mar 1988 @ Prague
David Bartek,                 D,  1.76 m,  b. 13 Feb 1988 @ Prague

Jan Schaffartzik,             M,  1.84 m,  b. 15 Dec 1987 @ Opava
Tomáš Vondrášek,              D,  1.75 m,  b. 26 Oct 1987 @ Sokolov
Tomáš Fryšták,                G,  1.92 m,  b. 18 Aug 1987 @ Uherské Hradiště
Jan Moravec,                  D,  1.75 m,  b. 13 Jul 1987 @ Rohozná
Jakub Podaný,                 D,  1.84 m,  b. 15 Jun 1987 @ Přerov
Kamil Vacek,                  M,  1.83 m,  b. 18 May 1987 @ Ústí nad Orlicí
Jakub Rada,                   M,  1.85 m,  b. 5 May 1987 @ Prague
Jan Krob,                     D,  1.75 m,  b. 27 Apr 1987 @ Beroun
Ondřej Kúdela,                D,  1.84 m,  b. 26 Mar 1987
Jakub Mareš,                  F,  1.82 m,  b. 26 Jan 1987 @ Teplice

Josef Hnaníček,               D,  1.82 m,  b. 28 Dec 1986 @ Zlín
Theodor Gebre Selassie,       D,  1.82 m,  b. 24 Dec 1986 @ Třebíč
Jan Kalabiška,                D|M,1.88 m,  b. 22 Dec 1986 @ Mělník
Jakub Diviš,                  G,  1.95 m,  b. 27 Jul 1986 @ Turnov
František Rajtoral,           D,  1.77 m,  b. 12 Mar 1986 @ Příbram
Petr Jiráček,                 M,  1.80 m,  b. 2 Mar 1986 @ Tuchořice
Petr Javorek,                 M,  1.86 m,  b. 9 Feb 1986 @ Prague
Martin Fillo,                 D,  1.77 m,  b. 7 Feb 1986 @ Planá
Milan Škoda,                  F,  1.90 m,  b. 16 Jan 1986 @ Prague

Jan Šeda,                     G,  1.89 m,  b. 17 Dec 1985 @ Vysoké Mýto
Aleš Hruška,                  G,  1.93 m,  b. 23 Nov 1985 @ Městec Králové
Jiří Kladrubský,              D,  1.85 m,  b. 19 Nov 1985 @ České Budějovice
Zdeněk Zlámal,                G,  1.93 m,  b. 5 Nov 1985 @ Přerov
Daniel Kolář,                 M,  1.79 m,  b. 27 Oct 1985 @ Prague
Přemysl Kovář,                G,  1.87 m,  b. 14 Oct 1985 @ Boskovice
Daniel Pudil,                 M,  1.85 m,  b. 27 Sep 1985 @ Prague
Jan Žídek,                    D,  1.86 m,  b. 4 Jul 1985
Michal Vepřek,                D,  1.77 m,  b. 17 Jun 1985 @ Olomouc
Michal Papadopulos,           F,  1.83 m,  b. 14 Apr 1985 @ Ostrava
Tomáš Černý,                  G,  1.85 m,  b. 10 Apr 1985 @ Ústí nad Labem
Vlastimil Hrubý,              G,  1.87 m,  b. 21 Feb 1985 @ Znojmo
Pavel Černý,                  F,  1.85 m,  b. 28 Jan 1985 @ Hradec Králové

Michal Kadlec,                D,  1.83 m,  b. 13 Dec 1984 @ Vyškov
Jiří Fleišman,                D,  1.85 m,  b. 2 Oct 1984 @ Most
Petr Bolek,                   G,  1.90 m,  b. 13 Jun 1984 @ Ostrava
Roman Hubník,                 D,  1.91 m,  b. 6 Jun 1984 @ Vsetín
Václav Procházka,             D,  1.85 m,  b. 8 May 1984 @ Rokycany
Jan Jeřábek,                  M,  1.83 m,  b. 12 Feb 1984 @ Prachovice

David Limberský,              D,  1.78 m,  b. 6 Oct 1983 @ Plzeň
Tomáš Sivok,                  D,  1.85 m,  b. 15 Sep 1983 @ Pelhřimov
Milan Petržela,               M,  1.71 m,  b. 19 Jun 1983 @ Prague
Tomáš Grigar,                 G,  1.91 m,  b. 1 Feb 1983 @ Ostrava

Jan Laštuvka,                 G,  1.91 m,  b. 7 Jul 1982 @ Havirov
Petr Čech,                    G,  1.96 m,  b. 20 May 1982 @ Plzeň
Jan Rezek,                    M|F,1.77 m,  b. 5 May 1982 @ Most
Jaroslav Plašil,              M,  1.83 m,  b. 5 Jan 1982 @ Opočno

Marek Matějovský,             M,  1.78 m,  b. 20 Dec 1981 @ Brandýs nad Labem
Milan Baroš,                  F,  1.84 m,  b. 28 Oct 1981 @ Valašské Meziříčí
David Lafata,                 F,  1.80 m,  b. 18 Sep 1981 @ České Budějovice
Tomáš Hübschman,              D|M,1.80 m,  b. 4 Sep 1981 @ Prague
Josef Jindřišek,              M,  1.78 m,  b. 14 Feb 1981 @ Plavy

Tomáš Rosický,                M,  1.78 m,  b. 4 Oct 1980 @ Prague
Pavel Krmaš,                  D,  1.93 m,  b. 3 Mar 1980 @ Broumov

Jaroslav Drobný,              G,  1.92 m,  b. 18 Oct 1979 @ Počátky

Pavel Zavadil,                M,  1.78 m,  b. 30 Apr 1978 @ Olomouc
